gen,ind,lap,time_s,A,B,C
cma4_gen3,1,4,129.094,27.5167,1.5281,180.8767,2.0704,0.00712
cma4_gen3,3,1,130.308,25.4349,1.6487,202.3317,1.8370,0.00796
cma4_gen3,3,2,127.608,25.4349,1.6487,202.3317,1.8370,0.00796
cma4_gen3,3,3,127.142,25.4349,1.6487,202.3317,1.8370,0.00796
cma4_gen3,3,4,127.162,25.4349,1.6487,202.3317,1.8370,0.00796
cma4_gen4,6,1,128.026,25.2325,1.6306,210.1823,2.0649,0.00830
cma4_gen4,6,2,124.560,25.2325,1.6306,210.1823,2.0649,0.00830
cma4_gen4,6,3,124.148,25.2325,1.6306,210.1823,2.0649,0.00830
cma4_gen4,6,4,125.738,25.2325,1.6306,210.1823,2.0649,0.00830
cma4_gen5,2,1,134.484,26.8665,1.3681,219.7743,1.9550,0.00588
cma4_gen5,2,2,130.532,26.8665,1.3681,219.7743,1.9550,0.00588
cma4_gen5,2,3,130.748,26.8665,1.3681,219.7743,1.9550,0.00588
cma4_gen5,2,4,130.636,26.8665,1.3681,219.7743,1.9550,0.00588
cma4_gen5,5,1,134.362,27.0512,1.1684,227.6420,1.9437,0.00706
cma4_gen5,5,2,130.720,27.0512,1.1684,227.6420,1.9437,0.00706
cma4_gen5,5,3,129.602,27.0512,1.1684,227.6420,1.9437,0.00706
cma4_gen5,5,4,126.156,27.0512,1.1684,227.6420,1.9437,0.00706
cma8h_pA_gen1,2,1,127.586,25.1384,1.6629,208.5832,2.1290,0.00820,0.0000
cma8h_pA_gen1,2,2,123.934,25.1384,1.6629,208.5832,2.1290,0.00820,0.0000
cma8h_pA_gen1,2,3,125.992,25.1384,1.6629,208.5832,2.1290,0.00820,0.0000
cma8h_pA_gen1,3,1,127.680,25.5604,1.5824,208.6587,2.0351,0.00849,0.0000
cma8h_pA_gen1,3,2,125.568,25.5604,1.5824,208.6587,2.0351,0.00849,0.0000
cma8h_pA_gen1,3,3,125.790,25.5604,1.5824,208.6587,2.0351,0.00849,0.0000
cma8h_pA_gen1,3,4,123.966,25.5604,1.5824,208.6587,2.0351,0.00849,0.0000
cma8h_pA_gen1,4,1,130.430,25.3624,1.5527,214.4534,2.0015,0.00771,0.0000
cma8h_pA_gen1,6,1,128.084,24.9557,1.6872,205.7331,2.1158,0.00745,0.0000
cma8h_pA_gen1,6,2,125.016,24.9557,1.6872,205.7331,2.1158,0.00745,0.0000
cma8h_pA_gen1,6,3,127.774,24.9557,1.6872,205.7331,2.1158,0.00745,0.0000
cma8h_pA_gen1,6,4,127.226,24.9557,1.6872,205.7331,2.1158,0.00745,0.0000
cma8h_pA_gen2,2,1,126.990,25.5231,1.5850,212.3237,2.0607,0.00844,0.0000
cma8h_pA_gen2,2,2,126.908,25.5231,1.5850,212.3237,2.0607,0.00844,0.0000
